Country,Year,Ministry Or Department,Additional Info,Pay  (UOM:INR(IndianRupees)),Dearness Allowance (UOM:INR(IndianRupees)),House Rent Allowance (UOM:INR(IndianRupees)),Compensatory City Allowance (Cca) (UOM:INR(IndianRupees)),Overtime Allowance (Ota) (UOM:INR(IndianRupees)),Others (UOM:INR(IndianRupees)),Travel Allowances (UOM:INR(IndianRupees)),Bonus (UOM:INR(IndianRupees)),Honorarium (UOM:INR(IndianRupees)),Encashment Of Earned Leave(El) (UOM:INR(IndianRupees)),Transport (UOM:INR(IndianRupees))
India,"Financial Year (Apr - Mar), 2014",AGRICULTURE AND COOPERATION,,87.84,92.61,15.83,,0.25,12.54,10.46,0.93,0.86,6.21,14.25
India,"Financial Year (Apr - Mar), 2003",OCEAN DEVELOPMENT,,145.19,82.43,19.73,4.07,1.29,11.17,139.84,1.36,3.96,0,4.54
India,"Financial Year (Apr - Mar), 2010",POWER,,47.98,19.18,8,,0.04,4.61,3.67,0.29,0.09,4.87,1.46
India,"Financial Year (Apr - Mar), 2013",CONSUMER AFFAIRS,,20.97,18.48,4.12,,0.03,2.48,1.98,0.22,0.03,1.98,3.96
India,"Financial Year (Apr - Mar), 2012",SOCIAL JUSTICE AND EMPOWERMENT,,14.15,9.61,2.26,,0.09,1.76,2.87,0.08,0.05,0.67,1.99
India,"Financial Year (Apr - Mar), 2020",EMPOWERMENT OF PERSONS WITH DISABILITIES,,7.58,1.26,0.9,,0,0.69,0.62,0.06,0.2,0.5,0.58
India,"Financial Year (Apr - Mar), 2013",FERTILIZERS,,8.16,7.19,1.14,,0.05,0.78,0.99,0.06,0.08,0.73,0.99
India,"Financial Year (Apr - Mar), 2001",DEFENCE ( CIVIL ),,291800.49,125001.1,33648.99,5681.17,44107.96,19175.74,11718.63,13909.25,347.25,11187.82,4408.57
India,"Financial Year (Apr - Mar), 2019",CABINET SECRETARIAT,,24.11,3.68,2.55,,0.06,1.53,0.7,0.14,0.13,1.41,1.76
India,"Financial Year (Apr - Mar), 2016",COAL,,17.37,4.62,1.35,,0,0.99,1.52,0.22,0.09,0.39,1.32
India,"Financial Year (Apr - Mar), 2008",YOUTH AFFAIRS AND SPORTS,,7.62,1.6,1.08,0.05,0.11,0.66,1.09,0.09,0.02,0.13,0.45
India,"Financial Year (Apr - Mar), 2007",SCIENCE AND TECHNOLOGY,,95.46,37.36,10.07,1.46,0.18,6.5,11.86,2.08,0.25,0,1.29
India,"Financial Year (Apr - Mar), 2000",ECONOMIC AFFAIRS,,10830.84,4693.12,1500.34,220.62,5255.98,860.8,377.22,2910.86,35.13,170.25,234.09
India,"Financial Year (Apr - Mar), 2020",ROAD TRANSPORT AND HIGHWAYS,,61.99,10.41,8.64,,0,3.99,3.7,0.26,0.2,0.93,4.87
India,"Financial Year (Apr - Mar), 2001",HEAVY INDUSTRY,,183.25,82.45,26.97,5.96,6.29,7.68,69.16,4.26,3.02,4.93,5.16
India,"Financial Year (Apr - Mar), 2012",CULTURE,,113.83,75.63,23.44,,0.44,15.64,11.24,1.33,0.28,12,15.26
India,"Financial Year (Apr - Mar), 2010",TELECOMMUNICATIONS,,75.66,36.97,15.13,,0.34,8.64,9.34,0.32,0.36,5.48,0.83
India,"Financial Year (Apr - Mar), 2015",AGRICULTURE AND COOPERATION,,88.69,103.77,15.98,,0.25,12.67,13.85,0.94,0.87,6.27,14.39
India,"Financial Year (Apr - Mar), 2009",PLANNING ( NITI AYOG ),,35.68,6.63,4.17,,0.16,4.18,3.68,0.18,0.21,0.01,2.75
India,"Financial Year (Apr - Mar), 2016",FINANCIAL SERVICES,,27.81,7.39,1.96,,0.01,1.34,0.72,0.24,0.03,0.29,1.78
India,"Financial Year (Apr - Mar), 2010",ATOMIC ENERGY,,852.02,332.98,74.58,,27.25,353.83,33.25,2.98,1.07,35.29,69.52
India,"Financial Year (Apr - Mar), 2005",COMMERCE,,71.53,15.65,12.93,1.92,0.93,3.53,9.28,1.54,0.39,1.29,1.39
India,"Financial Year (Apr - Mar), 2020",CONSUMER AFFAIRS,,50.3,8.33,6.07,,0.01,4.25,0.87,0.28,0.16,2.47,3.36
India,"Financial Year (Apr - Mar), 2002",FERTILIZERS,,219.46,113.34,38.53,7.05,7.02,14.72,35.42,4.61,1.82,0.36,8.07
India,"Financial Year (Apr - Mar), 2006",LABOUR AND EMPLOYMENT,,84.67,23.1,9.42,1.54,0.56,6.04,5.85,1.52,0.39,2,1.4
India,"Financial Year (Apr - Mar), 2013",SPACE,,475.72,418.63,77.9,,0.91,241.15,39.74,0,0.51,29.88,47.19
India,"Financial Year (Apr - Mar), 2018",PETROLEUM AND NATURAL GAS,,19.01,1.92,2.3,,0,1.17,1.79,0.09,0.01,0.19,1.45
India,"Financial Year (Apr - Mar), 2006",ROAD TRANSPORT AND HIGHWAYS,,21.22,5.9,3.01,0.42,0.09,1.05,1.29,0.28,0.13,0.63,0.37
India,"Financial Year (Apr - Mar), 2002",NON - CONVENTIONAL ENERGY SOURCES,,519.01,262.57,49.51,7.06,12.04,35.24,15.44,1.43,0,0,7.47
India,"Financial Year (Apr - Mar), 2015",SHIPPING,,38.86,46.1,5.45,,0.07,6.8,6.88,0.47,0.37,1.62,5.35
India,"Financial Year (Apr - Mar), 2003",NON - CONVENTIONAL ENERGY SOURCES,,509.98,299.16,46.61,6.88,11.73,40.54,15.44,1.43,0,0,7.14
India,"Financial Year (Apr - Mar), 2016",PETROLEUM AND NATURAL GAS,,15.5,4.15,1.03,,0.01,1.11,0.97,0.14,0,0.6,1.37
India,"Financial Year (Apr - Mar), 2020",DEVELOPMENT OF NE REGION,,17.22,2.93,1.63,,0,1.42,1.12,0.1,0.05,0.44,1.02
India,"Financial Year (Apr - Mar), 2013",POSTS,,4762.15,4296.53,516.22,,18.3,314.34,68.72,245.31,5.23,221.88,369.35
India,"Financial Year (Apr - Mar), 2001",ENVIRONMENT AND FORESTS,,3591.67,1604.42,438.01,65.76,76.37,236.94,283.59,91.22,7.62,7.44,66.3
India,"Financial Year (Apr - Mar), 2010",WOMEN AND CHILD DEVELOPMENT,,10.23,4.41,1.83,,0.04,1.93,1.61,0.09,0.07,0.9,1.17
India,"Financial Year (Apr - Mar), 2009",ENVIRONMENT AND FORESTS,,94.22,18.14,6.07,,0.12,7.84,8.5,0.99,0.53,2.7,4.35
India,"Financial Year (Apr - Mar), 2018",PRIME MINISTER'S OFFICE,,26.57,2.24,2.51,,0.04,3.27,1.37,0.17,0.18,0.27,1.98
India,"Financial Year (Apr - Mar), 2014",FOOD PROCESSING INDUSTRIES,,4.1,4.22,0.61,,0.03,0.34,1.02,0.02,0.02,0.48,0.61
India,"Financial Year (Apr - Mar), 2014",EARTH SCIENCES,,116.69,124.96,16.59,,0,20.46,6.11,1.16,0.12,8.73,17.86
India,"Financial Year (Apr - Mar), 2010",AGRICULTURAL RESEARCH AND EDUCATION,,1.24,0.51,0.21,,0.01,0.24,0.15,0.01,0,0.85,0.09
India,"Financial Year (Apr - Mar), 2018",DRINKING WATER AND SANITATION,,9.75,0.85,1.34,,0.01,0.78,1.66,0.05,0.06,0.47,0.69
India,"Financial Year (Apr - Mar), 2013",SOCIAL JUSTICE AND EMPOWERMENT,,13.47,12.03,2.36,,0.05,1.8,2.36,0.08,0.05,0.67,2.28
India,"Financial Year (Apr - Mar), 2018",COMMERCE,,293.3,31.77,54.5,,0.43,16.09,25.74,2.07,1.3,8.67,22.54
India,"Financial Year (Apr - Mar), 2015","PERSONNEL , PUBLIC GRIEVANCES AND PENSIONS",,173.35,204.55,28.22,,0.15,108.93,21.37,2.87,0.55,4.16,28.89
India,"Financial Year (Apr - Mar), 2020",TRIBAL AFFAIRS,,13.81,2.32,1.65,,0,1.23,1.06,0.12,0.36,0.91,1.2
India,"Financial Year (Apr - Mar), 2008",SHIPPING,,41.22,9.35,3.99,0.16,0.08,5.15,4.49,0.74,0.07,0.61,1.87
India,"Financial Year (Apr - Mar), 2015",LAW AND JUSTICE,,49.16,57.52,8.45,,0.16,7.56,5.14,0.45,0.55,0.48,7.74
India,"Financial Year (Apr - Mar), 2014",HEAVY INDUSTRY,,4.88,5.17,0.86,,0.03,1.39,1.05,0.04,0.01,0.51,0.93
India,"Financial Year (Apr - Mar), 2002",CULTURE,,4808.1,2426.43,570.4,85.01,103.71,288.52,314.61,60.63,14.67,48.35,88.38
India,"Financial Year (Apr - Mar), 2005",ANIMAL HUSBANDRY AND DAIRYING,,37.28,7.65,4.62,0.95,1.19,3.29,1.22,1.45,0.07,0.86,0.44
India,"Financial Year (Apr - Mar), 2009",HEAVY INDUSTRY,,6.8,1.36,0.98,,0.05,0.63,0.79,0.06,0.04,0.46,0.65
India,"Financial Year (Apr - Mar), 2002",MINES,,11370.8,5276.87,1741.93,293.05,38.65,417.74,1394.78,252.52,14.08,53.48,340.63
India,"Financial Year (Apr - Mar), 2012",PARLIAMENTARY AFFAIRS,,3.38,2.3,0.59,,0.01,0.33,0.95,0.03,0.03,0.03,0.35
India,"Financial Year (Apr - Mar), 2005",INDIAN AUDIT AND ACCOUNTS DEPARTMENT,,678.44,136.99,99.34,12,0.65,32.64,56.75,10.3,2.88,16,10.99
India,"Financial Year (Apr - Mar), 2015",INDUSTRIAL POLICY AND PROMOTION,,46.08,53.83,7.74,,0.02,4.87,2.48,0.42,0.24,3.38,8.29
India,"Financial Year (Apr - Mar), 2012",FERTILIZERS,,7.27,4.79,1.01,,0,0.28,0.95,0.08,0.09,0.29,1.1
India,"Financial Year (Apr - Mar), 2009",PRESIDENT'S SECRETARIAT,,7.85,1.43,0.2,,0.1,0.45,0.25,0.08,0.1,0.55,0.63
India,"Financial Year (Apr - Mar), 2019",REVENUE,,6924.95,972.49,739.61,,6.63,388.63,203.44,38.98,5.23,44.54,438.57
India,"Financial Year (Apr - Mar), 2008",CABINET SECRETARIAT,,4.69,1.27,0.51,0.03,0.11,0.19,0.69,0.08,0.06,0.43,0.38
India,"Financial Year (Apr - Mar), 2016",CONSUMER AFFAIRS,,41.95,10.51,4.61,,0,2.58,1.14,0.32,0.07,0.72,4.24
India,"Financial Year (Apr - Mar), 2009",DEVELOPMENT OF NE REGION,,7.85,1.4,0.98,,0.07,1.24,0.86,0.05,0.05,0.22,0.41
India,"Financial Year (Apr - Mar), 2015","ANIMAL HUSBANDRY , DAIRYING AND FISHERIES",,57.38,66.56,7.81,,0.49,8.71,4.13,0.88,0.24,6.18,9.11
India,"Financial Year (Apr - Mar), 2003",INDUSTRIAL DEVELOPMENT,,2228.37,1295.6,242.91,39.7,29.26,164.95,223.89,54.17,6.52,7.18,42.74
India,"Financial Year (Apr - Mar), 2012",PETROLEUM AND NATURAL GAS,,7.22,4.99,1.03,,0.06,0.97,0.89,0.05,0.1,0.59,0.99
India,"Financial Year (Apr - Mar), 2006",OVERSEAS INDIAN AFFAIRS,,1.31,0.36,0.21,0.02,0.01,0.12,0.92,0.03,0,0.05,0.01
India,"Financial Year (Apr - Mar), 2005",WATER RESOURCES,,133.4,26.35,18,2.45,0.3,10.18,11.13,2.09,0.14,3.35,2.37
India,"Financial Year (Apr - Mar), 2013",ENVIRONMENT AND FORESTS,,67.8,55.06,8.74,,0.08,13.77,18.17,0.72,0.34,3.05,7.21
India,"Financial Year (Apr - Mar), 2021",EXTERNAL AFFAIRS,Excluding missions abroad(*),470.68,122.38,41.97,,0,24,38.55,1.49,0.11,17.5,25.69
India,"Financial Year (Apr - Mar), 2015",EXPENDITURE,,21.76,25.67,4,,0.06,3.61,1.84,0.16,0.15,0.65,4.2
India,"Financial Year (Apr - Mar), 2009",POSTS,Including Grameena Dak Seva(##).,5041.85,962.99,496.25,,36.55,241.63,45.76,217.12,7.79,164.17,265.22
India,"Financial Year (Apr - Mar), 2003",SCIENCE AND TECHNOLOGY,,12682.21,7283.15,1500.55,271.56,284.87,1154.51,764.28,406.65,79.6,159.91,281.24
India,"Financial Year (Apr - Mar), 2001",REVENUE,,71740.37,31821.84,10384.62,1571.72,1531.94,4568.29,3535.1,1843.34,120.13,684.95,1724.68
India,"Financial Year (Apr - Mar), 2001",RAILWAYS,,740870.61,335978.36,70083.49,10678.43,18425.33,57645.79,37513.78,65932.86,1814.15,23177.99,10453.81
India,"Financial Year (Apr - Mar), 2010",COMMERCE,,137.41,54.54,28.75,,0.24,19.94,19.41,1.25,0.09,4.87,18.61
India,"Financial Year (Apr - Mar), 2007",INDIAN AUDIT AND ACCOUNTS DEPARTMENT,,639.99,255.01,98.93,11.18,0.16,27.6,51.53,9.21,3.5,30.59,10.54
India,"Financial Year (Apr - Mar), 2003",FAMILY WELFARE,,1288.67,748.16,162.12,27,18.92,134.1,89.44,35.71,8.96,10.97,26.79
India,"Financial Year (Apr - Mar), 2016",CORPORATE AFFAIRS,,68.57,20.21,6.97,,0.04,6.04,3.09,0.83,0.12,2.22,6.7
India,"Financial Year (Apr - Mar), 2013",SHIPPING,,38.03,33.85,4.33,,0.06,6.99,5.17,0.47,0.14,0.72,3.61
India,"Financial Year (Apr - Mar), 2005",HOME AFFAIRS,,4707.74,1008.35,171.05,55.4,1.73,450.24,371.19,101.04,2.35,48.68,13.3
India,"Financial Year (Apr - Mar), 2020",CULTURE,,271.83,46.04,40.99,,0.09,19.19,7.77,2.12,0.88,16.18,21.58
India,"Financial Year (Apr - Mar), 2017",STEEL,,15.57,0.8,1.84,,0,1.52,1.84,0.09,0.1,0.77,1.24
India,"Financial Year (Apr - Mar), 2016",ROAD TRANSPORT AND HIGHWAYS,,51.72,13.82,4.2,,0,2.71,4.51,0.36,0.23,0.5,4.36
India,"Financial Year (Apr - Mar), 2016",EARTH SCIENCES,,251.01,53.19,19.16,,0,18.47,10.25,3.14,0.38,8.34,18.72
India,"Financial Year (Apr - Mar), 2006",MINES,,147.39,39.84,21.72,3.61,0.39,7,14.44,2.49,0.18,0.72,4.21
India,"Financial Year (Apr - Mar), 2019",PUBLIC ENTERPRISES,,5.67,0.85,0.68,,0,0.5,0.16,0.05,0.15,0.38,0.5
India,"Financial Year (Apr - Mar), 2015",COAL,,7.04,8.31,1.19,,0.01,1.09,1.03,0.07,0.09,0.37,0.59
India,"Financial Year (Apr - Mar), 2006",INFORMATION AND BROADCASTING,,58,15.52,8.15,1.38,0.71,3.5,4.47,0.87,0.36,0.77,1.16
India,"Financial Year (Apr - Mar), 2001",LAW AND JUSTICE,,1828.79,817.24,299.63,51.99,26.79,63.72,96.44,41.73,27.16,35.29,55.68
India,"Financial Year (Apr - Mar), 2005",FOOD AND PUBLIC DISTRIBUTION,,15.83,3.08,1.99,0.32,0.32,1.1,0.83,0.27,0.09,0.44,0.27
India,"Financial Year (Apr - Mar), 2021",COOPERATION,,2.19,0.56,0.28,,0,0.2,0.01,0.02,0.05,0.05,0.19
India,"Financial Year (Apr - Mar), 2015",ECONOMIC AFFAIRS,,25.68,29.45,4.31,,0.04,3.14,7,0.2,0.61,2.1,4.74
India,"Financial Year (Apr - Mar), 2015",ATOMIC ENERGY,,953.95,1067,94.59,,35.91,440.6,44.99,0,0.47,64.45,116.81
India,"Financial Year (Apr - Mar), 2021",LAND RESOURCES,,6.5,1.65,0.8,,0,0.39,0.12,0.02,0.03,0.38,0.5
India,"Financial Year (Apr - Mar), 2003",SOCIAL JUSTICE AND EMPOWERMENT,,650.88,365.53,66.96,11.39,11.96,50.33,89.48,13.65,2.58,20.69,13.44
India,"Financial Year (Apr - Mar), 2000",INDIAN AUDIT AND ACCOUNTS DEPARTMENT,,43242.22,17308.38,6358.14,1043.1,18.38,1838.56,5215.3,1101.54,235.82,1567.33,978.12
India,"Financial Year (Apr - Mar), 2018",YOUTH AFFAIRS AND SPORTS,,21.23,1.84,2.24,,0,1.47,2.22,0.19,0.03,0,1.59
India,"Financial Year (Apr - Mar), 2014",EXTERNAL AFFAIRS,Excluding missions abroad(*),84.62,89,13.48,,0.14,9.65,65.38,0.85,1.37,20.62,14.66
India,"Financial Year (Apr - Mar), 2007",PUBLIC ENTERPRISES,,1.33,0.52,0.27,0.03,0.02,0.03,0.24,0.02,0,0.01,0.04
India,"Financial Year (Apr - Mar), 2018",REVENUE,,6582.98,583.66,1008.5,,2.79,393.47,211.58,42.9,3.57,111.51,409.1
India,"Financial Year (Apr - Mar), 2010",ENVIRONMENT AND FORESTS,,65.59,28.16,8.52,,4.19,7.58,16.5,0.8,0.31,3.69,4.87
India,"Financial Year (Apr - Mar), 2005","PERSONNEL , PUBLIC GRIEVANCES AND PENSIONS",,87.48,18.29,9.6,1.55,0.68,12.48,12.31,1.6,0.2,0.41,0.99
India,"Financial Year (Apr - Mar), 2013",HEAVY INDUSTRY,,5.73,4.75,0.84,,0.03,1.12,0.92,0.04,0.04,0.32,0.89
India,"Financial Year (Apr - Mar), 2003",HEALTH,,17267.26,9958.54,2125.22,345.87,189.8,2490.51,348.22,368.06,11.44,152.17,336.1
India,"Financial Year (Apr - Mar), 2017",STATISTICS AND PROGRAMME IMPLEMENTATION,,290.94,15.34,40.51,,0,13.62,7.43,2.04,0,5.65,17.86
India,"Financial Year (Apr - Mar), 2008",HEALTH AND FAMILY WELFARE,,563.82,124.04,80.18,3.33,1.23,38.23,14.53,6.99,0.28,11.68,26.95
India,"Financial Year (Apr - Mar), 2013",TEXTILES,,71.08,62.94,11.78,,0.03,9.55,8.46,1.22,0.03,3.05,8.19
India,"Financial Year (Apr - Mar), 2000",ENVIRONMENT AND FORESTS,,3837.17,1527.06,354.78,54.65,75.26,273.31,302.71,89.49,5.71,19.03,55.93
India,"Financial Year (Apr - Mar), 2007",HEALTH AND FAMILY WELFARE,,330.93,128.63,43.02,6.17,1.05,46.81,12.21,5.5,0.23,9.93,4.43
India,"Financial Year (Apr - Mar), 2007",CHEMICALS AND PETROCHEMICALS,,4.11,1.55,0.72,0.09,0.11,0.23,1.43,0.04,0.11,0.21,0.12
India,"Financial Year (Apr - Mar), 2000",HEAVY INDUSTRY,,180.2,73.65,26.16,6.02,6.31,10.3,28.1,4.29,3.65,6.74,6.41
India,"Financial Year (Apr - Mar), 2007","PERSONNEL , PUBLIC GRIEVANCES AND PENSIONS",,89.53,35.42,12,1.73,0.45,17.04,12.74,1.34,0.48,1.28,1.57
India,"Financial Year (Apr - Mar), 2012",DEFENCE ( CIVIL ),,6844.57,4367.33,939.12,,732.73,920.28,349.89,106.48,2.58,135.41,698.19
India,"Financial Year (Apr - Mar), 2003",HOME AFFAIRS,,293737.43,167527.56,10025.3,3304.75,153.33,28713.32,29497.37,13335.59,191.05,3086.21,1674.31
India,"Financial Year (Apr - Mar), 2007",PETROLEUM AND NATURAL GAS,,3.75,1.47,0.58,0.09,0.09,0.2,1.22,0.04,0,0.14,0.11
India,"Financial Year (Apr - Mar), 2018",BIO - TECHNOLOGY,,15.47,1.25,1.71,,0,0.95,2.11,0.06,0,0.84,1.09
India,"Financial Year (Apr - Mar), 2001",TEXTILES,,2054.15,929.5,283.6,47.57,24.23,82.98,179.34,51.6,16.03,11.98,44.89
India,"Financial Year (Apr - Mar), 2016",HOME AFFAIRS,,27468.55,7141.83,972.52,,2.69,8676.46,2078.39,669.12,4.71,206.66,1482.27
India,"Financial Year (Apr - Mar), 2007",INFORMATION AND BROADCASTING,,54.75,21.31,7.95,1.34,0.73,3.48,4.94,1.17,0.55,1.4,1.21
India,"Financial Year (Apr - Mar), 2016",INDIAN AUDIT AND ACCOUNTS DEPARTMENT,,2310.33,620.32,197.86,,0.09,130.51,160.08,28.11,3.49,84.58,154.92
India,"Financial Year (Apr - Mar), 2010",OVERSEAS INDIAN AFFAIRS,,3.16,1.33,0.56,,0.01,0.55,1.62,0.06,0.08,0.23,0.72
India,"Financial Year (Apr - Mar), 2013",SCIENCE AND TECHNOLOGY,,120.76,108.34,36.32,,0.06,17.29,13.83,0.2,0.07,9.33,15.65
India,"Financial Year (Apr - Mar), 2015",URBAN DEVELOPMENT,Including HUPA(**/@@).,449.73,517.19,59.79,,2.7,13.84,12.2,1.84,0.42,8.42,60.84
India,"Financial Year (Apr - Mar), 2010",MINES,,214.04,92.38,35.81,,0.2,26.55,26.95,2.2,0.47,5.27,25.55
India,"Financial Year (Apr - Mar), 2005",CULTURE,,72.43,15.19,8.26,1.27,1.41,4.11,2.66,0.57,0.22,0.52,0.81
India,"Financial Year (Apr - Mar), 2012",CORPORATE AFFAIRS,,33.7,22.09,6.81,,0.06,4.37,2.89,0.31,0.04,2.21,4.94
India,"Financial Year (Apr - Mar), 2018",RAILWAYS,,55605,4626,5231,,1282,7251,2399,1974,32,2903,2859
India,"Financial Year (Apr - Mar), 2015",PARLIAMENTARY AFFAIRS,,3.93,4.65,0.72,,0.02,0.37,1.09,0.03,0.03,0.1,0.47
India,"Financial Year (Apr - Mar), 2014",CORPORATE AFFAIRS,,32.58,34.44,6.81,,0.04,5.03,2.44,0.32,0.08,1.65,5.89
India,"Financial Year (Apr - Mar), 2014",SHIPPING,,37.44,39.31,4.55,,0.05,7.14,9.44,0.48,0.18,1.9,4.65
India,"Financial Year (Apr - Mar), 2019",POWER,,92.94,16.26,7,,0.01,5.87,5.89,0.36,0,5.5,6.64
India,"Financial Year (Apr - Mar), 2010",PUBLIC ENTERPRISES,,2.52,1.03,0.35,,0.01,0.26,0.83,0.02,0,0.12,0.26
India,"Financial Year (Apr - Mar), 2019",SOCIAL JUSTICE AND EMPOWERMENT,,34.2,5.13,5.58,,0.02,3.1,4.58,0.2,0.17,1.71,2.76
India,"Financial Year (Apr - Mar), 2007",CONSUMER AFFAIRS,,13.56,5.33,2.83,0.3,0.08,0.56,1.19,0.17,0.1,0.21,0.4
India,"Financial Year (Apr - Mar), 2015",MINES,,204.2,240.06,41.5,,0.04,20.92,29.59,2.08,0.12,1.6,40.01
India,"Financial Year (Apr - Mar), 2014",URBAN DEVELOPMENT,Including HUPA(**/@@).,440.91,464.31,58.62,,2.65,13.56,10.07,1.8,0.41,8.25,59.65
India,"Financial Year (Apr - Mar), 2018",EXPENDITURE,,78.08,6.52,11.23,,0,8.11,5.19,0.42,0.39,3.381,6.39
India,"Financial Year (Apr - Mar), 2015",RAILWAYS,,19824,22995.33,2280.87,,878.56,3997.42,1393.65,1247.96,15.25,2245.21,2501.48
India,"Financial Year (Apr - Mar), 2010",PETROLEUM AND NATURAL GAS,,7.09,2.95,1.1,,0.11,0.94,1.28,0.05,0,0,0.91
India,"Financial Year (Apr - Mar), 2018",LABOUR AND EMPLOYMENT,,279.55,26.46,29.02,,0,21.64,13.51,1.81,0.45,9.68,15.45
India,"Financial Year (Apr - Mar), 2015",PRIME MINISTER'S OFFICE,,10.12,11.85,1.09,,0.11,1.71,0.67,0.1,0.11,0.3,1.85
India,"Financial Year (Apr - Mar), 2007",RURAL DEVELOPMENT,,6.74,2.63,1.07,0.17,0.11,0.37,1.94,0.08,0.05,0.09,0.17
India,"Financial Year (Apr - Mar), 2006",FOOD AND PUBLIC DISTRIBUTION,,15.97,4.45,2.12,0.34,0.3,1.05,1.44,0.28,0.09,0.55,0.31
India,"Financial Year (Apr - Mar), 2000",WATER RESOURCES,,9292.48,3868.59,1271.6,211.53,31.54,725.12,1018.52,229.54,14.76,117.45,258.03
India,"Financial Year (Apr - Mar), 2018",SKILL DEVELOPMENT AND ENTREPRENEURSHIP,,116.22,9.3,0.69,,1.04,0.4,1.53,0.03,0.03,2.81,0.51
India,"Financial Year (Apr - Mar), 2013",YOUTH AFFAIRS AND SPORTS,,7,5.88,1.19,,0.13,0.93,1.06,0.07,0.08,0.59,0.88
India,"Financial Year (Apr - Mar), 2006",URBAN DEVELOPMENT,,281.17,59.56,21.11,4.65,2.55,9.58,8.05,2.82,0.54,2.05,7.63
India,"Financial Year (Apr - Mar), 2006",EXPENDITURE,,10.17,2.79,1.44,0.25,0.22,0.66,0.84,0.15,0.07,0.33,0.21
India,"Financial Year (Apr - Mar), 2020","MICRO , SMALL AND MEDIUM ENTERPRISES",,29.32,4.99,4.07,,0,2.58,1.15,0.1,0.15,4.13,2.17
India,"Financial Year (Apr - Mar), 2002",SCIENCE AND TECHNOLOGY,,13074.17,6636.53,1552.79,275.14,222.08,1902.78,715.39,460.42,44.7,138.11,283.74
India,"Financial Year (Apr - Mar), 2002",WOMEN AND CHILD DEVELOPMENT,,487.4,251.81,67.24,12.94,12.81,23.43,52.91,14.02,0.6,8.31,11.52
India,"Financial Year (Apr - Mar), 2003",TELECOMMUNICATIONS,,2035.5,1198.58,286.57,47.18,32.1,160.34,390.75,33.95,6.47,2412.2,70.8
India,"Financial Year (Apr - Mar), 2020",MINORITY AFFAIRS,,13.6,2.3,1.92,,0,2.21,0.35,0.03,0.03,0.04,1.25
India,"Financial Year (Apr - Mar), 2012",URBAN DEVELOPMENT,Including HUPA(**/@@).,362.51,246.71,70.76,,1.48,44.3,12.54,4.52,1.97,18.57,54.49
India,"Financial Year (Apr - Mar), 2013",DISINVESTMENT,,1.7,1.39,0.24,,0,0.18,3.35,0.01,0.02,0.12,0.22
India,"Financial Year (Apr - Mar), 2003",WATER RESOURCES,,8790.97,5228.08,1257.06,196.8,30.97,906.05,1105.19,221.34,22.37,216.66,239.26
India,"Financial Year (Apr - Mar), 2015",PLANNING ( NITI AYOG ),,37.22,43.18,6.47,,0.01,3.68,10.48,0.31,0.1,0.12,4.35
India,"Financial Year (Apr - Mar), 2020",WOMEN AND CHILD DEVELOPMENT,,22.17,3.66,2.44,,0,1.38,0.85,0.11,0.04,1.96,1.32
India,"Financial Year (Apr - Mar), 2019",VICE PRESIDENT'S SECRETARIAT,,2.66,0.45,0.16,,0.05,0.25,0.38,0.03,0,0.06,0.27
India,"Financial Year (Apr - Mar), 2001",CIVIL AVIATION,,1067.6,479.2,131.98,21.52,25.94,61.53,56.29,23.26,10.48,33.93,22.05
India,"Financial Year (Apr - Mar), 2000",HOME AFFAIRS,,258638.49,102517.97,6557.02,2966.85,137.35,22873.25,21378.42,12752.71,90.16,1486.73,828.87
India,"Financial Year (Apr - Mar), 2005",POWER,,31.54,6.62,3.44,0.52,0.97,1.95,1.98,0.35,0.04,0.24,0.36
India,"Financial Year (Apr - Mar), 2002",AGRICULTURE AND COOPERATION,,4810.85,2446,616.06,112.51,43.55,222.98,382.12,121.26,13.34,87.76,95.4
India,"Financial Year (Apr - Mar), 2021",SCHOOL EDUCATION AND LITERACY,,17.85,4.6,2.27,,0,0.8,0.22,0.08,0.08,0.67,1.4
India,"Financial Year (Apr - Mar), 2013",INFORMATION AND BROADCASTING,,89.75,78.52,12.33,,0.33,9.21,7.2,0.95,0.23,2.33,12.13
India,"Financial Year (Apr - Mar), 2005",INFORMATION TECHNOLOGY,,55.1,11.45,7.05,0.92,0.29,43.5,5.67,0.44,0.23,0.822,0.82
India,"Financial Year (Apr - Mar), 2008",FERTILIZERS,,6.37,1.35,0.81,0.05,0.09,0.38,0.54,0.09,0.02,0.22,0.39
India,"Financial Year (Apr - Mar), 2010",NEW AND RENEWABLE ENERGY,,7.6,3.12,0.98,,0.03,1.14,1.28,0.09,0,0.08,0.79
India,"Financial Year (Apr - Mar), 2005",CIVIL AVIATION,,15.82,3.28,1.79,0.28,0.42,0.75,0.57,0.26,0.06,0.2719,0.18
India,"Financial Year (Apr - Mar), 2018",NITI AYOG,,37.17,2.98,10.84,,0,3.62,5.18,0.34,0.1,0.15,5.22
India,"Financial Year (Apr - Mar), 2009",EARTH SCIENCES,,173.19,34.12,19.6,,0.03,9.08,5.34,1.63,0.08,6.52,11.71
India,"Financial Year (Apr - Mar), 2007",TRIBAL AFFAIRS,,3.09,1.21,0.4,0.05,0.02,0.2,0.51,0.03,0.01,0.05,0.07
India,"Financial Year (Apr - Mar), 2018",LAW AND JUSTICE,,144,12.16,20.86,,0.05,10.07,8.68,0.73,0.94,1.22,9.88
